	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
near_fid	44	22.50	12.85	1	44
dist_group_100	44	0.00284	0.00305	0	0.0120
dist_group_250	44	0.00187	0.00191	0	0.00869
dist_group_500	44	0.00168	0.00172	0	0.00709
dist_group_750	44	0.00107	0.000712	0	0.00269
dist_group_1000	44	0.000980	0.000686	0	0.00272
dist_group_1250	44	0.000824	0.000681	0	0.00314
dist_group_1500	44	0.000564	0.000566	0	0.00232
dist_group_1750	44	0.000413	0.000433	0	0.00162
dist_group_2000	44	0.000248	0.000280	0	0.000956
dist_group_2250	44	0.000206	0.000271	0	0.00102
dist_group_2500	44	0.000136	0.000179	0	0.000655
					
